Name,Caza,Phone,Investment_Authorization_Nb,latitude,longitude
Saint George Hospital,Beirut,01-441000,1014 / 58,33.8946,35.5134
Clemenceau Medical Center,Beirut,01-372888,917/1,33.8869,35.4903
Hotel Dieu Hospital,Beirut,01-615300,,33.8859,35.5135
Koura Hospital,Koura,06-930981,222/1,34.3664,35.777
Notre Dame Hospital,Koura,06-411411,948,34.3639,35.7789
Hammoud Hospital,Saida,07-723111,756/1,33.561,35.3756
Labib Medical Center,Saida,07-723444,2245/1,33.5648,35.3737
Jabal Amel Hospital,Sour,07-740343,,33.27,35.2033
Dar Al Amal Hospital,Baalabak,08-340620,,34.0058,36.2107
Al Kheir Hospital,Miniyeh,06-461444,261/1,34.4558,35.939
